"service_id","created_at","schedule_date","client_type","paying_customer","state_service","start_address_id","start_address_point","end_address_id","end_address_point","city","department_code"
397322,2026-02-01 19:07:43.899 -0500,2026-02-20 15:00:00.000 -0500,B2C,28602,TO_BE_CONFIRMED,93748,POINT (-74.80476019999999 10.9994735),93748,POINT (-74.80476019999999 10.9994735),126,"8"
399668,2026-02-05 08:38:31.384 -0500,2026-02-24 16:00:00.000 -0500,B2B,67756,REQUESTED,188384,POINT (-75.5914068 6.2315137),102162,POINT (-75.564082 6.2082589),1,"5"
399777,2026-02-05 10:33:40.722 -0500,2026-02-19 07:00:00.000 -0500,B2B,25806,REQUESTED,188411,POINT (-75.5731243 6.184122800000001),117281,POINT (-75.56979539999999 6.2198631),1,"5"
403022,2026-02-09 11:34:38.728 -0500,2026-02-23 13:30:00.000 -0500,B2B,25806,TO_BE_CONFIRMED,186670,POINT (-74.0527477 4.6773473),120432,POINT (-74.02471419999999 4.7281137),149,"25"
402549,2026-02-08 16:19:30.730 -0500,2026-02-21 12:00:00.000 -0500,B2C,30195,TO_BE_CONFIRMED,166327,POINT (-76.4960699 3.4665607),166327,POINT (-76.4960699 3.4665607),1004,"76"
391861,2026-01-27 08:47:56.024 -0500,2026-02-24 08:00:00.000 -0500,B2B,29150,TO_BE_CONFIRMED,186811,POINT (-74.0676022 4.6182478),28798,POINT (-74.08720430000001 4.6760977),149,"25"
392107,2026-01-27 12:06:29.830 -0500,2026-02-25 09:00:00.000 -0500,B2B,17799,TO_BE_CONFIRMED,186867,POINT (-74.14571839999999 4.6366725),2,POINT (-74.028923 4.704466),149,"25"
399332,2026-02-04 14:52:00.626 -0500,2026-02-19 09:30:00.000 -0500,B2B,25807,REQUESTED,188305,POINT (-75.5724501 6.1627934),117281,POINT (-75.56979539999999 6.2198631),1,"5"
399335,2026-02-04 14:53:27.276 -0500,2026-02-19 13:30:00.000 -0500,B2B,25807,REQUESTED,117281,POINT (-75.56979539999999 6.2198631),188305,POINT (-75.5724501 6.1627934),1,"5"
400326,2026-02-06 08:22:37.135 -0500,2026-02-19 11:00:00.000 -0500,B2B,72887,REQUESTED,130163,POINT (-75.56719989999999 6.188821),4852,POINT (-75.56991479999999 6.2276503),1,"5"
400357,2026-02-06 08:40:37.945 -0500,2026-02-19 16:00:00.000 -0500,B2B,72887,REQUESTED,4852,POINT (-75.56991479999999 6.2276503),130163,POINT (-75.56719989999999 6.188821),1,"5"
397007,2026-01-31 21:52:36.806 -0500,2026-02-20 12:00:00.000 -0500,B2C,108573,TO_BE_CONFIRMED,183705,POINT (-76.5215896 3.4536185),183705,POINT (-76.5215896 3.4536185),1004,"76"
399422,2026-02-04 16:12:31.297 -0500,2026-02-24 09:00:00.000 -0500,B2C,69699,TO_BE_CONFIRMED,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,"25"
399423,2026-02-04 16:13:42.295 -0500,2026-02-24 12:00:00.000 -0500,B2C,69699,CANCELED,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,"25"
403356,2026-02-09 15:32:23.151 -0500,2026-02-19 07:00:00.000 -0500,B2B,31425,TO_BE_CONFIRMED,189083,POINT (-74.0515964 4.6595701),17793,POINT (-74.05576889999999 4.712595600000001),149,"25"
403357,2026-02-09 15:33:10.953 -0500,2026-02-19 12:30:00.000 -0500,B2B,31425,TO_BE_CONFIRMED,17793,POINT (-74.05576889999999 4.712595600000001),189083,POINT (-74.0515964 4.6595701),149,"25"
402881,2026-02-09 09:45:43.890 -0500,2026-02-26 12:30:00.000 -0500,B2B,72887,TO_BE_CONFIRMED,4852,POINT (-75.56991479999999 6.2276503),96914,POINT (-75.5689336 6.214603899999999),1,"5"
402879,2026-02-09 09:45:16.262 -0500,2026-02-26 07:00:00.000 -0500,B2B,72887,TO_BE_CONFIRMED,96914,POINT (-75.5689336 6.214603899999999),4852,POINT (-75.56991479999999 6.2276503),1,"5"
