service_id,created_at,schedule_date,start_address_id,start_address_point,end_address_id,end_address_point,city_code,department_code,labor_id,labor_type,labor_name,labor_category,labor_sequence,alfred,shop,address_id,address_point,labor_created_at,labor_start_date,labor_end_date
391861,2026-01-27T08:47:56.024000-05:00,2026-02-24T08:00:00-05:00,186811,POINT (-74.0676022 4.6182478),28798,POINT (-74.08720430000001 4.6760977),149,25,495284,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-01-27T08:47:56.099000-05:00,,
392107,2026-01-27T12:06:29.830000-05:00,2026-02-25T09:00:00-05:00,186867,POINT (-74.14571839999999 4.6366725),2,POINT (-74.028923 4.704466),149,25,495534,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-01-27T12:06:29.899000-05:00,,
399422,2026-02-04T16:12:31.297000-05:00,2026-02-24T09:00:00-05:00,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,25,504180,3,Wash and Polish,WASH_AND_POLISH,1,,934.0,72261.0,POINT (-74.1089748 4.6597407),2026-02-06T09:25:02.339000-05:00,,
399422,2026-02-04T16:12:31.297000-05:00,2026-02-24T09:00:00-05:00,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,25,503120,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,2,,,,,2026-02-04T16:12:31.339000-05:00,,
399422,2026-02-04T16:12:31.297000-05:00,2026-02-24T09:00:00-05:00,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,25,503121,4,Tecnomecanica,SAFETI_INSPECTION,3,,4375.0,178711.0,POINT (-74.1554709 4.6832376),2026-02-04T16:12:31.379000-05:00,,
399422,2026-02-04T16:12:31.297000-05:00,2026-02-24T09:00:00-05:00,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,25,503122,2,Alfred Transport,VEHICLE_TRANSPORTATION,4,,,,,2026-02-04T16:12:31.420000-05:00,,
399423,2026-02-04T16:13:42.295000-05:00,2026-02-24T12:00:00-05:00,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,25,503123,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-04T16:13:42.337000-05:00,,
399423,2026-02-04T16:13:42.295000-05:00,2026-02-24T12:00:00-05:00,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,25,503124,3,Wash and Polish,WASH_AND_POLISH,2,,934.0,72261.0,POINT (-74.1089748 4.6597407),2026-02-04T16:13:42.384000-05:00,,
399423,2026-02-04T16:13:42.295000-05:00,2026-02-24T12:00:00-05:00,125253,POINT (-74.1188902 4.6992568),125253,POINT (-74.1188902 4.6992568),149,25,503125,2,Alfred Transport,VEHICLE_TRANSPORTATION,3,,,,,2026-02-04T16:13:42.423000-05:00,,
403022,2026-02-09T11:34:38.728000-05:00,2026-02-23T13:30:00-05:00,186670,POINT (-74.0527477 4.6773473),120432,POINT (-74.02471419999999 4.7281137),149,25,506837,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-09T11:34:38.772000-05:00,,
403356,2026-02-09T15:32:23.151000-05:00,2026-02-19T07:00:00-05:00,189083,POINT (-74.0515964 4.6595701),17793,POINT (-74.05576889999999 4.712595600000001),149,25,507190,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-09T15:32:23.214000-05:00,,
403357,2026-02-09T15:33:10.953000-05:00,2026-02-19T12:30:00-05:00,17793,POINT (-74.05576889999999 4.712595600000001),189083,POINT (-74.0515964 4.6595701),149,25,507191,12,Alfred Initial Transport,VEHICLE_TRANSPORTATION,1,,,,,2026-02-09T15:33:11.015000-05:00,,
